date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:11	62525/62525	---M-Z	200	added ('OK')	text/html	etag:%22967566-f43d-590743310eff5%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/home-dark-header.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/home-dark-header.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:12	71696/71696	---M-Z	200	added ('OK')	text/html	etag:%2296756c-11810-59074334c8154%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/shop-grid-ls.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/shop-grid-ls.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:12	49833/49833	---M-Z	200	added ('OK')	text/html	etag:%2296756b-c2a9-5907433431b2e%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/shop-categories.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/shop-categories.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:12	71677/71677	---M-Z	200	added ('OK')	text/html	etag:%2296756e-117fd-5907433519227%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/shop-grid-rs.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/shop-grid-rs.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:13	57579/57579	---M-Z	200	added ('OK')	text/html	etag:%2296756d-e0eb-59074334f406d%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/shop-grid-ns.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/shop-grid-ns.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:13	67390/67390	---M-Z	200	added ('OK')	text/html	etag:%2296756f-1073e-590743354ed7e%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/shop-list-ls.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/shop-list-ls.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:14	67371/67371	---M-Z	200	added ('OK')	text/html	etag:%22967571-1072b-59074335e9224%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/shop-list-rs.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/shop-list-rs.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:14	50531/50531	---M-Z	200	added ('OK')	text/html	etag:%22967570-c563-590743356f118%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/shop-list-ns.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/shop-list-ns.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:15	64028/64028	---M-Z	200	added ('OK')	text/html	etag:%22967572-fa1c-590743360767e%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/shop-single.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/shop-single.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:15	55741/55741	---M-Z	200	added ('OK')	text/html	etag:%22967558-d9bd-5907432e9923f%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/cart.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/cart.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
